"ACQ_BRANCHES","ACQ_BRANCHES_HREF","ACQ_CERT","ACQ_CHARTAGENT","ACQ_CHARTER","ACQ_CLASS","ACQ_CLASS_TYPE","ACQ_CLASS_TYPE_DESC","ACQ_CLCODE","ACQ_CNTYNAME","ACQ_CNTYNUM","ACQ_FDICREGION","ACQ_FDICREGION_DESC","ACQ_INSAGENT1","ACQ_INSAGENT2","ACQ_INSTNAME","ACQ_LATITUDE","ACQ_LONGITUDE","ACQ_ORGTYPE_NUM","ACQ_ORG_EFF_DTE","ACQ_PADDR","ACQ_PCITY","ACQ_PSTALP","ACQ_PSTNUM","ACQ_PZIP5","ACQ_PZIPREST","ACQ_REGAGENT","ACQ_TRUST","ACQ_UNINUM","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_INSAGENT1","FRM_LATITUDE","FRM_LONGITUDE","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSURED_COM_FLAG","INSURED_OTS_FLAG","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","OUT_CERT","OUT_CHARTAGENT","OUT_CHARTER","OUT_CLASS","OUT_CLASS_TYPE","OUT_CLASS_TYPE_DESC","OUT_CLCODE","OUT_CNTYNAME","OUT_CNTYNUM","OUT_FDICREGION","OUT_FDICREGION_DESC","OUT_INSAGENT1","OUT_INSAGENT2","OUT_INSTNAME","OUT_LATITUDE","OUT_LONGITUDE","OUT_ORGTYPE_NUM","OUT_PADDR","OUT_PCITY","OUT_PSTALP","OUT_PSTNUM","OUT_PZIP5","OUT_PZIPREST","OUT_REGAGENT","OUT_TRUST","OUT_UNINUM","PROCDATE","PROCYEAR","PSTALP","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","STNUM","SUR_CERT","SUR_CHANGECODE","SUR_CHANGECODE_DESC","SUR_CHARTAGENT","SUR_CHARTER","SUR_CLASS","SUR_CLASS_TYPE","SUR_CLASS_TYPE_DESC","SUR_CLCODE","SUR_CNTYNAME","SUR_CNTYNUM","SUR_FDICREGION","SUR_FDICREGION_DESC","SUR_INSAGENT1","SUR_INSAGENT2","SUR_INSTNAME","SUR_LATITUDE","SUR_LONGITUDE","SUR_MADDR","SUR_MCITY","SUR_MSTALP","SUR_MSTATE","SUR_MZIP5","SUR_ORGTYPE_NUM","SUR_PADDR","SUR_PCITY","SUR_PSTALP","SUR_PSTNUM","SUR_PZIP5","SUR_PZIPREST","SUR_REGAGENT","SUR_TRUST","TRANSNUM","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG"
"4","/api/history?filters=TRANSNUM:200000539 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","35516","STATE","0","NM","C","Commercial","21","WARREN","181","11","KANSAS CITY","BIF","","Citizens Bank","41.498625","-93.486567","10","2000-01-15T00:00:00","100 FIRST STREET","CARLISLE","IA","19","50047","0000","FDIC","Full","81169","0","Y","14228","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Citizens Bank, (,[object Object],) in ,Carlisle,, ,IA,.","0","0","0","0","NM","0","C","Commercial","2000-01-15T00:00:00","2000","1999-09-24T00:00:00","1999","1","0","0","0","0","NM","C","Commercial","BIF","0","0","10","IA","19","FDIC","200000539_211_8885_81169_8885","BIF","0","0","0","0","0","10","FI","N","14228","STATE","0","NM","C","Commercial","21","WARREN","181","11","KANSAS CITY","BIF","","Hartford-Carlisle Savings Bank","41.498625","-93.486567","10","100 FIRST STREET","CARLISLE","IA","19","50047","0000","FDIC","Full","8885","2000-02-01T00:00:00","2000","IA","FDIC","0","0","211","19","35516","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","WARREN","181","11","KANSAS CITY","BIF","","Citizens Bank","41.498625","-93.486567","10101 UNIVERSITY AVENUE","CLIVE","IA","IOWA","50325","10","100 FIRST STREET","CARLISLE","IA","19","50047","0000","FDIC","Full","200000539","0","0","0","0","0","8885","0","0"
"2","/api/history?filters=TRANSNUM:200001348 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","8033","STATE","0","SM","C","Commercial","13","FULTON","121","5","ATLANTA","BIF","SAIF","Citizens Trust Bank","33.756986","-84.382201","10","1999-08-27T00:00:00","175 HOUSTON STREET, N.E.","ATLANTA","GA","13","30303","0000","FED","Full","5114","0","Y","27886","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Citizens Trust Bank, (,[object Object],) in ,Atlanta,, ,GA,.","0","0","0","0","SM","1","C","Commercial","2000-03-10T00:00:00","2000","1995-09-05T00:00:00","1995","0","0","1","0","0","SB","S","Savings","SAIF","0","0","0","GA","0","OTS","200001348_211_40720_5114_40720","BIF","1","0","0","0","0","10","FI","N","27886","OTS","0","SB","S","Savings","34","FULTON","121","5","ATLANTA","SAIF","","Mutual Federal Savings Bank","33.755435","-84.380805","110","205 AUBURN AVE N E","ATLANTA","GA","13","30303","0000","OTS","","40720","2000-03-13T00:00:00","2000","GA","FED","1","0","211","13","8033","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","FULTON","121","5","ATLANTA","BIF","SAIF","Citizens Trust Bank","33.756986","-84.382201","230 PEACHTREE STREET NW","ATLANTA","GA","GEORGIA","30303","10","175 HOUSTON STREET, N.E.","ATLANTA","GA","13","30303","0000","FED","Full","200001348","0","0","0","0","0","40720","0","0"
"2","/api/history?filters=TRANSNUM:200041992 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","19977","STATE","0","NM","C","Commercial","21","NEW YORK","61","2","NEW YORK","BIF","","Israel Discount Bank of New York","40.753938","-73.980403","10","2000-06-02T00:00:00","511 FIFTH AVENUE","NEW YORK","NY","36","10017","0000","FDIC","Full","13718","0","Y","25056","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Israel Discount Bank of New York, (,[object Object],) in ,New York,, ,NY,.","0","0","0","0","NM","1","C","Commercial","2000-06-02T00:00:00","2000","1984-03-01T00:00:00","1984","1","0","0","0","0","N","C","Commercial","BIF","0","0","10","CA","6","OCC","200041992_211_17342_13718_17342","BIF","0","0","0","0","0","10","FI","N","25056","OCC","18156","N","C","Commercial","3","KERN","29","14","SAN FRANCISCO","BIF","","Monument National Bank","35.647113668171","-117.678785095918","10","1450 NORTH NORMA","RIDGECREST","CA","6","93555","0000","OCC","","17342","2000-06-06T00:00:00","2000","NY","FDIC","1","1","211","36","19977","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","NEW YORK","61","2","NEW YORK","BIF","","Israel Discount Bank of New York","40.753938","-73.980403","511 Fifth Avenue","New York City","NY","NEW YORK","10017","10","511 FIFTH AVENUE","NEW YORK","NY","36","10017","0000","FDIC","Full","200041992","0","0","0","0","0","17342","0","0"
"3","/api/history?filters=TRANSNUM:200044992 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","57076","STATE","0","NM","C","Commercial","21","CHISAGO","25","9","CHICAGO","BIF","","S&C Bank, Minnesota","0","0","10","2000-07-14T00:00:00","15785 MAPLE LANE","ALMELUND","MN","27","55002","0000","FDIC","","356915","0","Y","10985","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,S&C Bank, Minnesota, (,[object Object],) in ,Almelund,, ,MN,.","0","0","0","0","NM","0","C","Commercial","2000-07-14T00:00:00","2000","1992-07-01T00:00:00","1992","1","0","0","0","0","NM","C","Commercial","BIF","0","0","10","MN","27","FDIC","200044992_211_7037_356915_7037","BIF","0","0","0","0","0","10","FI","N","10985","STATE","0","NM","C","Commercial","21","CHISAGO","25","11","KANSAS CITY","BIF","","Town and Country Bank of Almelund","0","0","10","MAIN STREET","ALMELUND","MN","27","55002","0000","FDIC","","7037","2000-07-20T00:00:00","2000","MN","FDIC","0","0","211","27","57076","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","CHISAGO","25","9","CHICAGO","BIF","","S&C Bank, Minnesota","0","0","15785 MAPLE LANE","ALMELUND","MN","MINNESOTA","55002","10","15785 MAPLE LANE","ALMELUND","MN","27","55002","0000","FDIC","","200044992","0","0","0","0","0","7037","0","0"
"4","/api/history?filters=TRANSNUM:200050300 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","15310","STATE","0","NM","C","Commercial","21","FRANKLIN","59","5","ATLANTA","BIF","","Citizens Bank & Savings Company","34.610322","-87.673253","10","1999-03-15T00:00:00","201 SOUTH JACKSON STREET","RUSSELLVILLE","AL","1","35653","0000","FDIC","","9650","0","Y","338","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Citizens Bank & Savings Company, (,[object Object],) in ,Russellville,, ,AL,.","0","0","0","0","NM","0","C","Commercial","2000-09-29T00:00:00","2000","1990-04-11T00:00:00","1990","1","0","0","0","0","NM","C","Commercial","BIF","0","0","0","MS","0","FDIC","200050300_211_268_9650_268","BIF","0","0","0","0","0","10","FI","N","338","STATE","0","NM","C","Commercial","21","TIPPAH","139","13","DALLAS","BIF","","The Bank of Falkner","34.878741","-88.964386","10","MAIN STREET","FALKNER","MS","28","38629","0000","FDIC","","268","2000-10-02T00:00:00","2000","AL","FDIC","0","1","211","1","15310","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","FRANKLIN","59","5","ATLANTA","BIF","","Citizens Bank & Savings Company","34.610322","-87.673253","P.O. BOX  910","RUSSELLVILLE","AL","ALABAMA","35653","10","201 SOUTH JACKSON STREET","RUSSELLVILLE","AL","1","35653","0000","FDIC","","200050300","0","0","0","0","0","268","0","0"
"5","/api/history?filters=TRANSNUM:200051189 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","20387","STATE","0","SM","C","Commercial","13","SAN FRANCISCO","75","14","SAN FRANCISCO","BIF","","Bank of the Orient","37.792451","-122.401072","10","1997-07-18T00:00:00","233 SANSOME STREET","SAN FRANCISCO","CA","6","94104","0000","FED","","14046","0","Y","21029","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Bank of the Orient, (,[object Object],) in ,San Francisco,, ,CA,. ,A link to FDIC closing information for ,Bank of Honolulu, (,21029,):, ,[object Object]","0","0","0","0","SM","1","C","Commercial","2000-10-13T00:00:00","2000","1980-04-01T00:00:00","1980","1","0","0","0","0","NM","C","Commercial","BIF","0","0","0","HI","0","FDIC","200051189_211_14531_14046_14531","BIF","0","0","0","0","0","10","FI","N","21029","STATE","0","NM","C","Commercial","21","HONOLULU","3","14","SAN FRANCISCO","BIF","","Bank of Honolulu","21.307685","-157.862473","10","841 BISHOP STREET","HONOLULU","HI","15","96808","0000","FDIC","","14531","2000-10-18T00:00:00","2000","CA","FED","1","1","211","6","20387","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","SAN FRANCISCO","75","14","SAN FRANCISCO","BIF","","Bank of the Orient","37.792451","-122.401072","100 Pine Street, Suite 600","San Francisco","CA","CALIFORNIA","94111","10","233 SANSOME STREET","SAN FRANCISCO","CA","6","94104","0000","FED","","200051189","0","0","0","0","0","14531","0","0"
"1","/api/history?filters=TRANSNUM:200053644 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","17514","STATE","0","NM","C","Commercial","21","WILLIAMSON","199","9","CHICAGO","BIF","SAIF","Banterra Bank","37.730738","-88.928304","10","1999-06-18T00:00:00","201 WEST MAIN STREET","MARION","IL","17","62959","0000","FDIC","Limited","11494","0","Y","3815","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Banterra Bank, (,[object Object],) in ,Marion,, ,IL,. ,A link to FDIC closing information for ,The National State Bank of Metropolis, (,3815,):, ,[object Object]","0","0","0","0","NM","1","C","Commercial","2000-12-14T00:00:00","2000","1997-10-14T00:00:00","1997","1","0","0","0","0","N","C","Commercial","BIF","0","0","10","IL","17","OCC","200053644_211_2476_11494_2476","BIF","0","0","0","0","0","10","FI","N","3815","OCC","5254","N","C","Commercial","3","MASSAC","127","9","CHICAGO","BIF","","The National State Bank of Metropolis","37.15379379","-88.72960747","10","101 WEST 8TH STREET","METROPOLIS","IL","17","62960","0000","OCC","Full","2476","2000-12-18T00:00:00","2000","IL","FDIC","1","0","211","17","17514","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","WILLIAMSON","199","9","CHICAGO","BIF","SAIF","Banterra Bank","37.730738","-88.928304","PO Box 291","Eldorado","IL","ILLINOIS","62930","10","201 WEST MAIN STREET","MARION","IL","17","62959","0000","FDIC","Limited","200053644","0","0","0","0","0","2476","0","0"
"1","/api/history?filters=TRANSNUM:200100919 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","24540","STATE","0","NM","C","Commercial","21","ROCKINGHAM","15","2","NEW YORK","BIF","","Southern New Hampshire Bank and Trust Company","42.775491","-71.249225","10","1999-06-07T00:00:00","31 PELHAM ROAD","SALEM","NH","33","03079","0000","FDIC","","17045","0","Y","34264","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,Southern New Hampshire Bank and Trust Company, (,[object Object],) in ,Salem,, ,NH,. ,A link to FDIC closing information for ,First Alliance Bank and Trust Company, (,34264,):, ,[object Object]","0","0","0","0","NM","0","C","Commercial","2001-02-02T00:00:00","2001","1998-05-05T00:00:00","1998","1","0","0","0","0","NM","C","Commercial","BIF","0","0","0","NH","0","FDIC","200100919_211_57023_17045_57023","BIF","0","0","0","0","0","10","FI","N","34264","STATE","0","NM","C","Commercial","21","HILLSBOROUGH","11","2","NEW YORK","BIF","","First Alliance Bank and Trust Company","43.003935","-71.465075","10","1750 ELM STREET, SUITE 102","MANCHESTER","NH","33","03104","0000","FDIC","","57023","2001-02-06T00:00:00","2001","NH","FDIC","0","0","211","33","24540","811","FDIC ASSISTED MERGER","STATE","0","NM","C","Commercial","21","ROCKINGHAM","15","2","NEW YORK","BIF","","Southern New Hampshire Bank and Trust Company","42.775491","-71.249225","PO Box 29","Salem","NH","NEW HAMPSHIRE","03079","10","31 PELHAM ROAD","SALEM","NH","33","03079","0000","FDIC","","200100919","0","0","0","0","0","57023","0","0"
"1","/api/history?filters=TRANSNUM:200103605 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","2284","STATE","0","SM","C","Commercial","13","MUSKINGUM","119","9","CHICAGO","BIF","","North Valley Bank","39.882389","-82.075432","10","2001-03-30T00:00:00","2775 MAYSVILLE PIKE","ZANESVILLE","OH","39","43701","0000","FED","","1510","0","Y","6629","211","FAILURE - WHOLE INSTITUTION","Failed. Merged with government financial assistance and became part of ,North Valley Bank, (,[object Object],) in ,Zanesville,, ,OH,. ,A link to FDIC closing information for ,The Malta National Bank, (,6629,):, ,[object Object]","0","0","0","0","SM","1","C","Commercial","2001-05-03T00:00:00","2001","9999-12-31T00:00:00","9999","1","0","0","0","0","N","C","Commercial","BIF","0","0","0","OH","0","OCC","200103605_211_4440_1510_4440","BIF","0","0","0","0","0","10","FI","N","6629","OCC","0","N","C","Commercial","3","MORGAN","115","9","CHICAGO","BIF","","The Malta National Bank","39.64788809667","-81.858856243328","10","10 THIRD STREET","MALTA","OH","39","43758","0000","OCC","","4440","2001-05-09T00:00:00","2001","OH","FED","1","0","211","39","2284","811","FDIC ASSISTED MERGER","STATE","0","SM","C","Commercial","13","MUSKINGUM","119","9","CHICAGO","BIF","","North Valley Bank","39.882389","-82.075432","2775 MAYSVILLE PIKE","ZANESVILLE","OH","OHIO","43701","10","2775 MAYSVILLE PIKE","ZANESVILLE","OH","39","43701","0000","FED","","200103605","0","0","0","0","0","4440","0","0"
"17","/api/history?filters=TRANSNUM:200106371 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","57294","OTS","0","SB","S","Savings","34","DUPAGE","43","9","CHICAGO","SAIF","","Superior Federal Bank, FSB","41.817564","-87.919383","110","2001-07-27T00:00:00","440 EAST OGDEN AVENUE","HINSDALE","IL","17","60521","0000","OTS","","360715","0","Y","32646","217","PASSTHROUGH RECEIVORSHIP/CONSERVATORSHIP RESOLUTION","Failed. Merged with government financial assistance and became part of, ,Superior Federal Bank, FSB, (,[object Object],) in ,Hinsdale,, ,IL,. ,A link to FDIC closing information for ,Superior Bank FSB, (,32646,):, ,[object Object]","0","0","0","0","SB","0","S","Savings","2001-07-27T00:00:00","2001","9999-12-31T00:00:00","9999","0","0","0","1","0","SB","S","Savings","SAIF","0","0","115","IL","17","OTS","200106371_217_45480_360715_45480","SAIF","0","0","0","0","0","110","FI","N","32646","OTS","0","SB","S","Savings","33","DUPAGE","43","2","NEW YORK","SAIF","","Superior Bank FSB","0","0","115","440 EAST OGDEN AVENUE","HINSDALE","IL","17","60521","4264","OTS","None","45480","2001-08-02T00:00:00","2001","IL","OTS","0","0","217","17","57294","811","FDIC ASSISTED MERGER","OTS","0","SB","S","Savings","34","DUPAGE","43","9","CHICAGO","SAIF","","Superior Federal Bank, FSB","41.817564","-87.919383","440 EAST OGDEN AVENUE","HINSDALE","IL","ILLINOIS","60521","110","440 EAST OGDEN AVENUE","HINSDALE","IL","17","60521","0000","OTS","","200106371","0","0","0","0","0","45480","0","0"
