"ACQDATE","ACQYEAR","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTAGENT","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","CLCODE","CNTYNAME","CNTYNUM","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","ESTDATE","ESTYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FDICREGION","FDICREGION_DESC","FI_EFFDATE","FI_UNINUM","FRM_CERT","FRM_CHARTAGENT","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_CLCODE","FRM_CNTYNAME","FRM_CNTYNUM","FRM_INSAGENT1","FRM_INSTNAME","FRM_ORGTYPE","FRM_ORGTYPE_NUM","FRM_PADDR","FRM_PADDR2","FRM_PCITY","FRM_PSTALP","FRM_PSTNUM","FRM_PZIP5","FRM_PZIPREST","FRM_REGAGENT","FRM_TRUST","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSAGENT2","INSTNAME","INSURED_COM_FLAG","INSURED_OTS_FLAG","LATITUDE","LONGITUDE","MADDR","MADDR2","MCITY","MSTALP","MSTATE","MZIP5","MZIPREST","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","OFF_CNTYNUM","OFF_NUM","ORGTYPE","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","PADDR","PADDR2","PCITY","PROCDATE","PROCYEAR","PSTALP","PZIP5","PZIPREST","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","SERVTYPE","SERVTYPE_DESC","STATE","STNUM","TRANSNUM","TRUST","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG","ACQ_BRANCHES","ACQ_BRANCHES_HREF"
"2005-02-10T00:00:00","2005","0","Y","27707","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","SI","0","S","Savings","41","BEAVER","7","1998-11-09T00:00:00","1998","1997-07-10T00:00:00","1997","1888-01-01T00:00:00","1888","0","0","0","0","0","2","NEW YORK","","0","27707","STATE","SI","S","Savings","41","BEAVER","7","SAIF","Peoples Home Savings Bank","STOCK SAVINGS BANK","115","1427 SEVENTH AVENUE","","BEAVER FALLS","PA","42","15010","0000","FDIC","","200000001_820_40541__","SAIF","0","","Peoples Home Savings Bank","0","0","40.75523","-80.319599","1427 SEVENTH AVENUE","","BEAVER FALLS","PA","PENNSYLVANIA","15010","0000","0","0","0","0","STOCK SAVINGS BANK","115","FI","N","1427 SEVENTH AVENUE","","BEAVER FALLS","2000-01-01T00:00:00","2000","PA","15010","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","PENNSYLVANIA","42","200000001","","0","0","0","0","0","40541","0","0","",""
"2001-08-08T00:00:00","2001","0","Y","4821","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","SM","0","C","Commercial","13","ANNE ARUNDEL","3","2000-01-01T00:00:00","2000","1999-05-15T00:00:00","1999","1805-09-17T00:00:00","1805","0","0","0","0","0","5","ATLANTA","","0","4821","STATE","SM","C","Commercial","13","ANNE ARUNDEL","3","BIF","Farmers Bank of Maryland","COMMERCIAL BANK","10","5 CHURCH CIRCLE","","ANNAPOLIS","MD","24","21404","0000","FED","Full","200000304_820_3216__","BIF","0","SAIF","Farmers Bank of Maryland","0","0","38.978353","-76.493344","C/O FVOS-MD  111 CHINQUAPIN ROUND ROAD","","ANNAPOLIS","MD","MARYLAND","21401","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","5 CHURCH CIRCLE","","ANNAPOLIS","2000-01-13T00:00:00","2000","MD","21404","0000","FED","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","MARYLAND","24","200000304","Full","0","0","0","0","0","3216","0","0","",""
"2001-08-08T00:00:00","2001","0","Y","4821","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","SM","0","C","Commercial","13","ANNE ARUNDEL","3","2000-01-01T00:00:00","2000","1999-05-15T00:00:00","1999","1805-09-17T00:00:00","1805","0","0","0","0","0","5","ATLANTA","","0","4821","STATE","SM","C","Commercial","13","ANNE ARUNDEL","3","BIF","Farmers Bank of Maryland","COMMERCIAL BANK","10","5 CHURCH CIRCLE","","ANNAPOLIS","MD","24","21404","0000","FED","Full","200000306_820_3216__","BIF","0","SAIF","Farmers Bank of Maryland","0","0","38.978353","-76.493344","C/O FVOS-MD  111 CHINQUAPIN ROUND ROAD","","ANNAPOLIS","MD","MARYLAND","21401","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","5 CHURCH CIRCLE","","ANNAPOLIS","2000-01-13T00:00:00","2000","MD","21404","0000","FED","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","MARYLAND","24","200000306","Full","0","0","0","0","0","3216","0","0","",""
"2001-03-23T00:00:00","2001","0","Y","20740","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","POLK","153","1999-09-28T00:00:00","1999","1996-06-28T00:00:00","1996","1972-07-06T00:00:00","1972","0","0","0","0","0","14","SAN FRANCISCO","","0","20740","STATE","NM","C","Commercial","21","POLK","153","BIF","Brenton Bank","COMMERCIAL BANK","10","400 LOCUST STREET","","DES MOINES","IA","19","50309","0000","FDIC","Full","200000318_820_14325__","BIF","0","SAIF","Brenton Bank","0","0","41.587271","-93.622471","P.O. BOX 891","","DES MOINES","IA","IOWA","50304","0891","0","0","0","0","COMMERCIAL BANK","10","FI","N","400 LOCUST STREET","","DES MOINES","2000-01-14T00:00:00","2000","IA","50309","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","IOWA","19","200000318","Full","0","0","0","0","0","14325","0","0","",""
"2002-06-18T00:00:00","2002","0","Y","14222","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","OCC","0","0","0","0","N","0","C","Commercial","3","PEPIN","91","2000-01-10T00:00:00","2000","1996-07-16T00:00:00","1996","1934-04-06T00:00:00","1934","0","0","0","0","0","9","CHICAGO","","0","14222","OCC","N","C","Commercial","3","PEPIN","91","BIF","The Security National Bank of Durand","COMMERCIAL BANK","10","212 WEST PROSPECT STREET","","DURAND","WI","55","54736","0000","OCC","","200000592_820_8879__","BIF","0","","Security National Bank of Durand","0","0","44.626912","-91.965331","212 WEST PROSPECT STREET","","DURAND","WI","WISCONSIN","54736","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","212 WEST PROSPECT STREET","","DURAND","2000-02-02T00:00:00","2000","WI","54736","0000","OCC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","WISCONSIN","55","200000592","","0","0","0","0","0","8879","0","0","",""
"2000-09-10T00:00:00","2000","0","Y","14331","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","OCC","0","0","0","0","N","0","C","Commercial","3","PUSHMATAHA","127","1999-12-28T00:00:00","1999","1997-02-13T00:00:00","1997","1901-01-01T00:00:00","1901","0","0","0","0","0","13","DALLAS","","0","14331","OCC","N","C","Commercial","3","PUSHMATAHA","127","BIF","First National Bank","COMMERCIAL BANK","10","100 NORTH HIGH STREET","","ANTLERS","OK","40","74523","0000","OCC","","200000597_820_8953__","BIF","0","","First National Bank","0","0","34.23123","-95.620367","100 NORTH HIGH STREET","","ANTLERS","OK","OKLAHOMA","74523","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","100 NORTH HIGH STREET","","ANTLERS","2000-02-02T00:00:00","2000","OK","74523","0000","OCC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","OKLAHOMA","40","200000597","","0","0","0","0","0","8953","0","0","",""
"2000-06-29T00:00:00","2000","0","Y","90141","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","SI","0","S","Savings","41","ESSEX","9","2000-01-14T00:00:00","2000","1998-01-09T00:00:00","1998","1828-01-01T00:00:00","1828","0","0","0","0","0","2","NEW YORK","","0","90141","STATE","SI","S","Savings","42","ESSEX","9","BIF","The Provident Bank","MUTUAL SAVINGS BANK","110","ONE MARKET STREET","","AMESBURY","MA","25","01913","0037","FDIC","","200000756_820_17736__","BIF","0","STATE","The Provident Bank","0","0","42.858028","-70.929947","5 Market St","","Amesbury","MA","MASSACHUSETTS","01913","2408","0","0","0","0","STOCK SAVINGS BANK","115","FI","N","FIVE MARKET STREET","","AMESBURY","2000-02-09T00:00:00","2000","MA","01913","0037","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","MASSACHUSETTS","25","200000756","","0","0","0","0","0","17736","0","0","",""
"2006-02-14T00:00:00","2006","0","Y","7598","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","OCC","0","0","0","0","N","0","C","Commercial","3","PERRY","99","1999-02-15T00:00:00","1999","1998-07-27T00:00:00","1998","1904-08-06T00:00:00","1904","0","0","0","0","0","2","NEW YORK","","0","7598","OCC","N","C","Commercial","3","PERRY","99","BIF","The First National Bank of Marysville","COMMERCIAL BANK","10","101 LINCOLN STREET","","MARYSVILLE","PA","42","17053","0000","OCC","","200000764_820_4928__","BIF","0","","The First National Bank of Marysville","0","0","40.342479","-76.930941","P.O. BOX  B","","MARYSVILLE","PA","PENNSYLVANIA","17053","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","101 LINCOLN STREET","","MARYSVILLE","2000-02-09T00:00:00","2000","PA","17053","0000","OCC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","PENNSYLVANIA","42","200000764","","0","0","0","0","0","4928","0","0","",""
"1998-08-12T00:00:00","1998","0","Y","27158","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","STATE","0","0","0","0","NM","0","C","Commercial","21","HALL","139","1998-04-24T00:00:00","1998","1997-02-18T00:00:00","1997","1988-02-01T00:00:00","1988","0","0","0","0","0","5","ATLANTA","","0","27158","STATE","NM","C","Commercial","21","HALL","139","BIF","Gainesville Bank & Trust","COMMERCIAL BANK","10","500 JESSE JEWELL PARKWAY S.E.","","GAINESVILLE","GA","13","30501","0000","FDIC","Full","200000813_820_38990__","BIF","0","","Gainesville Bank & Trust","0","0","34.301849","-83.816577","500 JESSE JEWELL PARKWAY S.E.","","GAINESVILLE","GA","GEORGIA","30501","0000","0","0","0","0","COMMERCIAL BANK","10","FI","N","500 JESSE JEWELL PARKWAY S.E.","","GAINESVILLE","2000-02-10T00:00:00","2000","GA","30501","0000","FDIC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","GEORGIA","13","200000813","Full","0","0","0","0","0","38990","0","0","",""
"2006-03-29T00:00:00","2006","0","Y","3219","820","PARTICIPATED IN REORGANIZATION","Reorganized banking operations.","OCC","0","0","0","0","N","0","C","Commercial","3","UPSHUR","459","1999-11-16T00:00:00","1999","1995-07-24T00:00:00","1995","1901-05-01T00:00:00","1901","0","0","0","0","0","13","DALLAS","","0","3219","OCC","N","C","Commercial","3","UPSHUR","459","BIF","Gilmer National Bank, Gilmer, Texas","COMMERCIAL BANK","10","900 NORTH WOOD STREET","","GILMER","TX","48","75644","0000","OCC","","200000838_820_2075__","BIF","0","","Gilmer National Bank, Gilmer, Texas","0","0","32.738613","-94.942514","P.O. Box 460","","Gilmer","TX","TEXAS","75644","0460","0","0","0","0","COMMERCIAL BANK","10","FI","N","900 NORTH WOOD STREET","","GILMER","2000-02-10T00:00:00","2000","TX","75644","0000","OCC","0","0","820","11","FULL SERVICE - BRICK AND MORTAR","TEXAS","48","200000838","","0","0","0","0","0","2075","0","0","",""
