"ACQDATE","ACQYEAR","ACQ_BRANCHES","ACQ_BRANCHES_HREF","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTAGENT","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","CLCODE","CNTYNAME","CNTYNUM","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","ESTDATE","ESTYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FDICREGION","FDICREGION_DESC","FI_EFFDATE","FI_UNINUM","FRM_CERT","FRM_CHARTAGENT","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_CLCODE","FRM_CNTYNAME","FRM_CNTYNUM","FRM_INSAGENT1","FRM_INSTNAME","FRM_ORGTYPE","FRM_ORGTYPE_NUM","FRM_PADDR","FRM_PCITY","FRM_PSTALP","FRM_PSTNUM","FRM_PZIP5","FRM_PZIPREST","FRM_REGAGENT","FRM_TRUST","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSAGENT2","INSTNAME","INSURED_COM_FLAG","INSURED_OTS_FLAG","LATITUDE","LONGITUDE","MADDR","MCITY","MSTALP","MSTATE","MZIP5","MZIPREST","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","OFF_CNTYNUM","OFF_NUM","ORGTYPE","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","PADDR","PCITY","PROCDATE","PROCYEAR","PSTALP","PZIP5","PZIPREST","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","SERVTYPE","SERVTYPE_DESC","STATE","STNUM","TRANSNUM","TRUST","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG"
"1999-12-18T00:00:00","1999","1","/api/history?filters=TRANSNUM:200000100 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","Y","24538","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NM","0","C","Commercial","21","OKLAHOMA","109","1999-12-18T00:00:00","1999","1997-06-06T00:00:00","1997","1983-06-03T00:00:00","1983","0","0","0","0","0","13","DALLAS","","0","24538","STATE","NM","C","Commercial","21","OKLAHOMA","109","BIF","First State Bank","COMMERCIAL BANK","10","700 EAST MEMORIAL ROAD","OKLAHOMA CITY","OK","40","73113","0000","FDIC","","200000100_240_17044__","BIF","0","SAIF","First State Bank","0","0","35.609067","-97.500587","P.O. BOX 6811","EDMOND","OK","OKLAHOMA","73083","6811","0","0","0","0","COMMERCIAL BANK","10","FI","Y","700 EAST MEMORIAL ROAD","OKLAHOMA CITY","2000-01-04T00:00:00","2000","OK","73113","0000","FDIC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","OKLAHOMA","40","200000100","","0","0","0","0","0","17044","1","0"
"1998-01-05T00:00:00","1998","1","/api/history?filters=TRANSNUM:200000180 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","34769","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","MAHONING","99","1998-01-05T00:00:00","1998","9999-12-31T00:00:00","9999","1998-01-05T00:00:00","1998","0","0","0","0","0","9","CHICAGO","","0","34769","STATE","NC","N/A","N/A","54","MAHONING","99","NONE","Butler Wick Trust Company","TRUST COMPANY","310","CITY CENTRE ONE, SUITE 800","YOUNGSTOWN","OH","39","44503","0000","STATE","Full","200000180_240_61542__","NONE","0","","Butler Wick Trust Company","0","0","0","0","CITY CENTRE ONE, SUITE 800","YOUNGSTOWN","OH","OHIO","44503","0000","0","0","0","0","TRUST COMPANY","310","FI","Y","CITY CENTRE ONE, SUITE 800","YOUNGSTOWN","2000-01-06T00:00:00","2000","OH","44503","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","OHIO","39","200000180","Full","0","0","0","0","0","61542","0","0"
"1999-12-13T00:00:00","1999","1","/api/history?filters=TRANSNUM:200000317 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","25822","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","NEW YORK","61","1999-12-13T00:00:00","1999","1999-08-12T00:00:00","1999","1983-12-12T00:00:00","1983","0","0","0","0","0","2","NEW YORK","","0","25822","STATE","NC","N/A","N/A","54","NEW YORK","61","NONE","LTCB Trust Company","TRUST COMPANY","310","165 BROADWAY","NEW YORK","NY","36","10006","0000","FDIC","Full","200000317_240_32053__","NONE","0","","LTCB Trust Company","0","0","40.709708","-74.010154","165 BROADWAY","NEW YORK CITY","NY","NEW YORK","10006","0000","0","0","0","0","TRUST COMPANY","310","FI","Y","165 BROADWAY","NEW YORK","2000-01-14T00:00:00","2000","NY","10006","0000","FDIC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","NEW YORK","36","200000317","Full","0","0","0","0","0","32053","0","0"
"1999-12-21T00:00:00","1999","1","/api/history?filters=TRANSNUM:200000911 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","Y","20719","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","OTS","0","0","0","0","SB","0","S","Savings","43","ALLEGHENY","3","1999-12-21T00:00:00","1999","1997-01-01T00:00:00","1997","1972-06-17T00:00:00","1972","0","0","0","0","0","2","NEW YORK","","0","20719","OTS","SB","S","Savings","43","ALLEGHENY","3","BIF","Mellon Bank, F.S.B.","STOCK SAVINGS BANK","115","TWO MELLON BANK CENTER, SUITE 375","PITTSBURGH","PA","42","15259","0000","OTS","Full","200000911_240_14309__","BIF","0","","Mellon Bank, F.S.B.","0","0","40.479136","-79.921016","TWO MELLON BANK CENTER, SUITE 375","PITTSBURGH","PA","PENNSYLVANIA","15259","0000","0","0","0","0","STOCK SAVINGS BANK","115","FI","Y","TWO MELLON BANK CENTER, SUITE 375","PITTSBURGH","2000-02-14T00:00:00","2000","PA","15259","0000","OTS","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","PENNSYLVANIA","42","200000911","Full","0","0","0","0","0","14309","1","0"
"1999-09-10T00:00:00","1999","1","/api/history?filters=TRANSNUM:200001169 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","Y","34826","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","OTS","0","0","0","0","SB","0","S","Savings","33","PINELLAS","103","1999-09-10T00:00:00","1999","1998-08-20T00:00:00","1998","1998-08-20T00:00:00","1998","0","0","0","0","0","5","ATLANTA","","0","34826","OTS","SB","S","Savings","33","PINELLAS","103","SAIF","Republic Bank, F.S.B.","STOCK SAVINGS BANK","115","1400 66TH STREET NORTH, SUITE 103","SAINT PETERSBURG","FL","12","33710","0000","OTS","","200001169_240_61738__","SAIF","0","BIF","Republic Bank, F.S.B.","0","0","0","0","1400 66TH STREET NORTH, SUITE 103","ST. PETERSBURG","FL","FLORIDA","33710","0000","0","0","0","0","STOCK SAVINGS BANK","115","FI","Y","1400 66TH STREET NORTH, SUITE 103","SAINT PETERSBURG","2000-02-25T00:00:00","2000","FL","33710","0000","OTS","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","FLORIDA","12","200001169","","0","0","0","0","0","61738","1","0"
"1990-07-01T00:00:00","1990","1","/api/history?filters=TRANSNUM:200001244 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","20551","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","KINGS","47","1990-07-01T00:00:00","1990","1990-06-30T00:00:00","1990","1951-05-24T00:00:00","1951","0","0","0","0","0","2","NEW YORK","","0","20551","STATE","NC","N/A","N/A","54","KINGS","47","NONE","The Royal Bank and Trust Company","TRUST COMPANY","310","FINANCIAL SQUARE","NEW YORK","NY","36","10005","3531","STATE","Full","200001244_240_14185__","NONE","0","","The Royal Bank and Trust Company","0","0","0","0","FINANCIAL SQUARE","NEW YORK CITY","NY","NEW YORK","10005","3531","0","0","0","0","TRUST COMPANY","310","FI","Y","FINANCIAL SQUARE","NEW YORK","2000-03-07T00:00:00","2000","NY","10005","3531","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","NEW YORK","36","200001244","Full","0","0","0","0","0","14185","0","0"
"1990-04-01T00:00:00","1990","1","/api/history?filters=TRANSNUM:200001339 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","91218","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","HONOLULU","3","1990-04-01T00:00:00","1990","1985-07-01T00:00:00","1985","1979-10-01T00:00:00","1979","0","0","0","0","0","14","SAN FRANCISCO","","0","91218","STATE","NC","N/A","N/A","54","HONOLULU","3","NONE","Pacific Trust Co., Ltd.","TRUST COMPANY","310","820 MILILANI STREET, SUITE 505","HONOLULU","HI","15","96813","0000","STATE","Full","200001339_240_18265__","NONE","0","","Pacific Trust Co., Ltd.","0","0","21.304866","-157.861808","820 MILILANI STREET, SUITE 505","HONOLULU","HI","HAWAII","96813","0000","0","0","0","0","TRUST COMPANY","310","FI","Y","820 MILILANI STREET, SUITE 505","HONOLULU","2000-03-10T00:00:00","2000","HI","96813","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","HAWAII","15","200001339","Full","0","0","0","0","0","18265","0","0"
"1994-12-04T00:00:00","1994","1","/api/history?filters=TRANSNUM:200001340 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","33839","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","HONOLULU","3","1994-12-04T00:00:00","1994","1994-12-01T00:00:00","1994","1991-12-01T00:00:00","1991","0","0","0","0","0","14","SAN FRANCISCO","","0","33839","STATE","NC","N/A","N/A","54","HONOLULU","3","NONE","Guardian Trust Company, Limited","TRUST COMPANY","310","1088 BISHOP STREET, PENTHOUSE","HONOLULU","HI","15","96813","0000","STATE","None","200001340_240_48146__","NONE","0","","Guardian Trust Company, Limited","0","0","21.309301","-157.860521","1088 BISHOP STREET, PENTHOUSE","HONOLULU","HI","HAWAII","96813","0000","0","0","0","0","TRUST COMPANY","310","FI","Y","1088 BISHOP STREET, PENTHOUSE","HONOLULU","2000-03-10T00:00:00","2000","HI","96813","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","HAWAII","15","200001340","None","0","0","0","0","0","48146","0","0"
"1999-01-29T00:00:00","1999","1","/api/history?filters=TRANSNUM:200001341 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","32764","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","NEW YORK","61","1999-01-29T00:00:00","1999","1989-12-28T00:00:00","1989","1989-12-28T00:00:00","1989","0","0","0","0","0","2","NEW YORK","","0","32764","STATE","NC","N/A","N/A","54","NEW YORK","61","NONE","BancBoston Trust Company of New York","TRUST COMPANY","310","55 BROADWAY","NEW YORK CITY","NY","36","10006","0000","STATE","Full","200001341_240_45635__","NONE","0","","BancBoston Trust Company of New York","0","0","40.706827","-74.012589","100 WILLIAM STREET, # GALLERIA","NEW YORK CITY","NY","NEW YORK","10038","4512","0","0","0","0","TRUST COMPANY","310","FI","Y","55 BROADWAY","NEW YORK CITY","2000-03-10T00:00:00","2000","NY","10006","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","NEW YORK","36","200001341","Full","0","0","0","0","0","45635","0","0"
"1996-01-18T00:00:00","1996","1","/api/history?filters=TRANSNUM:200001342 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","34374","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","53","WASHOE","31","1996-01-18T00:00:00","1996","9999-12-31T00:00:00","9999","1996-01-18T00:00:00","1996","0","0","0","0","0","14","SAN FRANCISCO","","0","34374","STATE","NC","N/A","N/A","53","WASHOE","31","NONE","Americorp Financial, Inc.","FINANCE COMPANY","220","ONE CALIFORNIA AVENUE","RENO","NV","32","89509","0000","STATE","Full","200001342_240_57134__","NONE","0","","Americorp Financial, Inc.","0","0","0","0","ONE CALIFORNIA AVENUE","RENO","NV","NEVADA","89509","0000","0","0","0","0","FINANCE COMPANY","220","FI","Y","ONE CALIFORNIA AVENUE","RENO","2000-03-10T00:00:00","2000","NV","89509","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","NEVADA","32","200001342","Full","0","0","0","0","0","57134","0","0"
