,Cert_ID,Class_Type,Effective_Date,Change_Type
0,7616,Commercial,2002-01-01,Combinations
1,14167,Commercial,2002-01-01,Combinations
2,14147,Commercial,2002-01-01,Combinations
3,6267,Commercial,2002-01-01,Combinations
4,23284,Commercial,2002-01-01,Combinations
5,6221,Commercial,2002-01-01,Combinations
6,32720,Commercial,2002-01-01,Combinations
7,34558,Commercial,2002-01-01,Combinations
8,13772,Commercial,2002-01-01,Combinations
9,34136,Commercial,2002-01-01,Combinations
10,10126,Commercial,2002-01-01,Combinations
11,7073,Commercial,2002-01-01,Combinations
12,26884,Commercial,2002-01-01,Combinations
13,35256,Commercial,2002-01-01,Combinations
14,26244,Commercial,2002-01-01,Combinations
15,15864,Commercial,2002-01-01,Combinations
16,21232,Commercial,2002-01-01,Combinations
17,22399,Commercial,2002-01-01,Combinations
18,35133,Savings,2002-01-01,Combinations
19,34764,Commercial,2002-01-01,Combinations
20,90223,Savings,2002-01-01,Combinations
21,34315,Savings,2002-01-01,Combinations
22,34128,Commercial,2002-01-01,Combinations
23,3239,Commercial,2002-01-02,Combinations
24,5098,Commercial,2002-01-02,Combinations
25,29977,Savings,2002-01-02,Combinations
26,16759,Commercial,2002-01-02,Combinations
27,32997,Commercial,2002-01-04,Combinations
28,16011,Savings,2002-01-07,Combinations
29,32897,Commercial,2002-01-07,Combinations
30,33367,Commercial,2002-01-07,Combinations
31,17426,Commercial,2002-01-07,Combinations
32,90330,Commercial,2002-01-10,Combinations
33,90319,Commercial,2002-01-11,Combinations
34,2162,Commercial,2002-01-11,Combinations
35,33804,Commercial,2002-01-11,Combinations
36,34094,Commercial,2002-01-11,Combinations
37,35225,Commercial,2002-01-11,Combinations
38,34142,Commercial,2002-01-11,Combinations
39,33626,Commercial,2002-01-11,Combinations
40,33312,Commercial,2002-01-12,Combinations
41,17810,Commercial,2002-01-15,Combinations
42,26498,Savings,2002-01-18,Combinations
43,28505,Commercial,2002-01-18,Combinations
44,6780,Commercial,2002-01-19,Combinations
45,30149,Commercial,2002-01-19,Combinations
46,11742,Commercial,2002-01-23,Combinations
47,23232,Commercial,2002-01-23,Combinations
48,23263,Commercial,2002-01-23,Combinations
49,34048,Commercial,2002-01-28,Combinations
50,57406,Commercial,2002-01-31,Combinations
51,33828,Commercial,2002-01-31,Combinations
52,15107,Savings,2002-01-31,Combinations
53,22671,Commercial,2002-01-31,Combinations
54,21979,Commercial,2002-01-31,Combinations
55,15483,Commercial,2002-02-01,Combinations
56,57076,Commercial,2002-02-01,Combinations
57,3879,Commercial,2002-02-08,Combinations
58,17758,Commercial,2002-02-08,Combinations
59,34012,Commercial,2002-02-08,Combinations
60,14501,Commercial,2002-02-15,Combinations
61,20358,Commercial,2002-02-16,Combinations
62,30920,Commercial,2002-02-16,Combinations
63,34342,Commercial,2002-02-18,Combinations
64,29939,Commercial,2002-02-19,Combinations
65,14805,Commercial,2002-02-19,Combinations
66,27814,Savings,2002-02-22,Combinations
67,26316,Commercial,2002-02-22,Combinations
68,24337,Commercial,2002-02-25,Combinations
69,25797,Commercial,2002-02-28,Combinations
70,34408,Commercial,2002-02-28,Combinations
71,19485,Commercial,2002-03-01,Combinations
72,19730,Commercial,2002-03-01,Combinations
73,5458,Commercial,2002-03-01,Combinations
74,5378,Commercial,2002-03-01,Combinations
75,33757,Commercial,2002-03-01,Combinations
76,90171,Savings,2002-03-01,Combinations
77,35145,Commercial,2002-03-01,Combinations
78,26266,Commercial,2002-03-01,Combinations
79,34117,Commercial,2002-03-02,Combinations
80,29513,Savings,2002-03-04,Combinations
81,6739,Commercial,2002-03-07,Combinations
82,14648,Commercial,2002-03-07,Combinations
83,100,Commercial,2002-03-07,Combinations
84,25828,Commercial,2002-03-07,Combinations
85,15954,Savings,2002-03-08,Combinations
86,29798,Commercial,2002-03-08,Combinations
87,33480,Commercial,2002-03-08,Combinations
88,27104,Savings,2002-03-08,Combinations
89,29330,Commercial,2002-03-09,Combinations
90,34327,Commercial,2002-03-16,Combinations
91,34737,Commercial,2002-03-16,Combinations
92,16804,Commercial,2002-03-16,Combinations
93,26984,Commercial,2002-03-16,Combinations
94,6924,Commercial,2002-03-16,Combinations
95,6927,Commercial,2002-03-16,Combinations
96,25865,Commercial,2002-03-16,Combinations
97,22390,Commercial,2002-03-16,Combinations
98,22817,Commercial,2002-03-16,Combinations
