,Cert_ID,Class_Type,Effective_Date,Change_Type
0,14228,Commercial,2000-01-15,Failures
1,27886,Commercial,2000-03-10,Failures
2,25056,Commercial,2000-06-02,Failures
3,10985,Commercial,2000-07-14,Failures
4,338,Commercial,2000-09-29,Failures
5,21029,Commercial,2000-10-13,Failures
6,3815,Commercial,2000-12-14,Failures
7,34264,Commercial,2001-02-02,Failures
8,6629,Commercial,2001-05-03,Failures
9,32646,Savings,2001-07-27,Failures
10,34248,Commercial,2001-09-07,Failures
11,24382,Commercial,2002-01-11,Failures
12,22002,Commercial,2002-01-18,Failures
13,8966,Commercial,2002-02-01,Failures
14,26652,Commercial,2002-03-01,Failures
15,19183,Commercial,2002-06-28,Failures
16,29355,Commercial,2002-06-28,Failures
17,16445,Commercial,2002-12-17,Failures
18,27094,Savings,2003-02-07,Failures
19,11639,Commercial,2003-05-09,Failures
20,27203,Commercial,2003-11-14,Failures
21,26838,Commercial,2004-03-12,Failures
22,26778,Commercial,2004-03-19,Failures
23,1249,Commercial,2004-06-25,Failures
24,35353,Commercial,2007-02-02,Failures
25,32575,Savings,2007-09-28,Failures
26,16848,Commercial,2007-10-04,Failures
