,Cert_ID,Class_Type,Effective_Date,Change_Type
0,22314,Commercial,2002-02-07,Liquidations
1,34979,Commercial,2002-03-28,Liquidations
2,33784,Commercial,2002-09-30,Liquidations
3,9961,Commercial,2002-11-08,Liquidations
4,31330,Savings,2004-02-14,Liquidations
5,58001,Commercial,2009-01-30,Liquidations
6,18243,Commercial,2009-03-20,Liquidations
7,22238,Commercial,2009-03-27,Liquidations
8,32069,Commercial,2009-04-24,Liquidations
9,57436,Commercial,2009-06-26,Liquidations
10,35030,Savings,2009-09-04,Liquidations
11,58315,Commercial,2009-12-18,Liquidations
12,34430,Commercial,2010-03-05,Liquidations
13,33535,Commercial,2010-03-19,Liquidations
14,34878,Commercial,2010-04-16,Liquidations
15,31813,Savings,2010-06-04,Liquidations
16,32456,Savings,2010-07-09,Liquidations
17,32582,Savings,2010-10-22,Liquidations
