,CERT,COST,NAME,QBFASSET,QBFDEP,RESTYPE,CITY,STATE,YEAR_FAILED,MONTH_FAILED,QUARTER_FAILED,BANK_TYPE,BANK_CLASS
0,21111,2491.0,CITY NATIONAL BANK OF NEW JERSEY,120574,111234,FAILURE,NEWARK, NJ,2019,11,2019Q4,Commercial, National FRS Banks
1,58112,4547.0,LOUISA COMMUNITY BANK,28163,25174,FAILURE,LOUISA, KY,2019,10,2019Q4,Commercial, State Chartered non-FRS Banks
2,58317,2188.0,RESOLUTE BANK,23292,22885,FAILURE,MAUMEE, OH,2019,10,2019Q4,Savings, Federal Savings Bank
3,10716,21577.0,ENLOE STATE BANK,36738,31254,FAILURE,COOPER, TX,2019,5,2019Q2,Commercial, State Chartered non-FRS Banks
4,30570,86826.0,WASHINGTON FEDERAL BANK FOR SAVINGS,166345,143964,FAILURE,CHICAGO, IL,2017,12,2017Q4,Savings, Federal Savings Bank
5,17719,280.0,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,33012,27466,FAILURE,ARGONIA, KS,2017,10,2017Q4,Commercial, State Chartered non-FRS Banks
6,1802,8544.0,FAYETTE COUNTY BANK,34370,33972,FAILURE,SAINT ELMO, IL,2017,5,2017Q2,Commercial, State Chartered FRS Banks
7,30003,133914.0,GUARANTY BANK,1031900,1002026,FAILURE,MILWAUKEE, WI,2017,5,2017Q2,Savings, Federal Savings Bank
8,58302,858100.0,FIRST NBC BANK,3325870,3032208,FAILURE,NEW ORLEANS, LA,2017,4,2017Q2,Commercial, State Chartered non-FRS Banks
9,35495,9302.0,PROFICIO BANK,68208,65042,FAILURE,COTTONWOOD HEIGHTS, UT,2017,3,2017Q1,Commercial, State Chartered non-FRS Banks
10,19328,44526.0,SEAWAY BANK AND TRUST COMPANY,297809,256505,FAILURE,CHICAGO, IL,2017,1,2017Q1,Commercial, State Chartered non-FRS Banks
11,34951,22158.0,HARVEST COMMUNITY BANK,124223,122177,FAILURE,PENNSVILLE, NJ,2017,1,2017Q1,Commercial, State Chartered non-FRS Banks
12,91,6213.0,ALLIED BANK,66336,64713,FAILURE,MULBERRY, AR,2016,9,2016Q3,Commercial, State Chartered FRS Banks
13,11297,3290.0,THE WOODBURY BANKING COMPANY,21426,21122,FAILURE,WOODBURY, GA,2016,8,2016Q3,Commercial, State Chartered non-FRS Banks
14,35312,10825.0,FIRST CORNERSTONE BANK,103307,101040,FAILURE,KING OF PRUSSIA, PA,2016,5,2016Q2,Commercial, State Chartered non-FRS Banks
15,9956,10372.0,TRUST COMPANY BANK,18998,20148,FAILURE,MEMPHIS, TN,2016,4,2016Q2,Commercial, State Chartered non-FRS Banks
16,20364,11763.0,NORTH MILWAUKEE STATE BANK,67115,61493,FAILURE,MILWAUKEE, WI,2016,3,2016Q1,Commercial, State Chartered non-FRS Banks
17,35156,995.0,HOMETOWN NATIONAL BANK,3785,3705,FAILURE,LONGVIEW, WA,2015,10,2015Q4,Commercial, National FRS Banks
18,35259,27760.0,THE BANK OF GEORGIA,286102,264234,FAILURE,PEACHTREE CITY, GA,2015,10,2015Q4,Commercial, State Chartered non-FRS Banks
19,34112,1210.0,PREMIER BANK,26760,25480,FAILURE,DENVER, CO,2015,7,2015Q3,Commercial, State Chartered FRS Banks
20,57772,20651.0,EDGEBROOK BANK,90034,90007,FAILURE,CHICAGO, IL,2015,5,2015Q2,Commercial, State Chartered non-FRS Banks
21,32102,693979.0,DORAL BANK,5898515,4097734,FAILURE,SAN JUAN, PR,2015,2,2015Q1,Commercial, State Chartered non-FRS Banks
22,33938,96014.0,CAPITOL CITY BANK & TRUST COMPANY,272311,262652,FAILURE,ATLANTA, GA,2015,2,2015Q1,Commercial, State Chartered non-FRS Banks
23,20290,4743.0,HIGHLAND COMMUNITY BANK,54727,53453,FAILURE,CHICAGO, IL,2015,1,2015Q1,Commercial, State Chartered non-FRS Banks
24,17557,6329.0,FIRST NATIONAL BANK OF CRESTVIEW,73804,73199,FAILURE,CRESTVIEW, FL,2015,1,2015Q1,Commercial, National FRS Banks
25,34983,3946.0,NORTHERN STAR BANK,18794,18221,FAILURE,MANKATO, MN,2014,12,2014Q4,Commercial, State Chartered non-FRS Banks
26,34738,2905.0,"FRONTIER BANK, FSB",80736,76344,FAILURE,PALM DESERT, CA,2014,11,2014Q4,Savings, Federal Savings Bank
27,916,57273.0,THE NATIONAL REPUBLIC BANK OF CHICAGO,843118,809638,FAILURE,CHICAGO, IL,2014,10,2014Q4,Commercial, National FRS Banks
28,4862,19837.0,NBRS FINANCIAL BANK,155353,151559,FAILURE,RISING SUN, MD,2014,10,2014Q4,Commercial, State Chartered FRS Banks
29,28462,18412.0,"GREENCHOICE BANK, FSB",70286,68722,FAILURE,CHICAGO, IL,2014,7,2014Q3,Savings, Federal Savings Bank
30,58125,38334.0,EASTSIDE COMMERCIAL BANK,173946,166875,FAILURE,CONYERS, GA,2014,7,2014Q3,Commercial, State Chartered non-FRS Banks
31,12483,3734.0,THE FREEDOM STATE BANK,22816,20855,FAILURE,FREEDOM, OK,2014,6,2014Q2,Commercial, State Chartered non-FRS Banks
32,10450,61339.0,VALLEY BANK,456442,359953,FAILURE,MOLINE, IL,2014,6,2014Q2,Commercial, State Chartered non-FRS Banks
33,21793,5439.0,VALLEY BANK,81843,66541,FAILURE,FORT LAUDERDALE, FL,2014,6,2014Q2,Commercial, State Chartered non-FRS Banks
34,32368,10954.0,SLAVIE FEDERAL SAVINGS BANK,140063,111142,FAILURE,BEL AIR, MD,2014,5,2014Q2,Savings, Federal Savings Bank
35,32284,7224.0,COLUMBIA SAVINGS BANK,36484,29538,FAILURE,CINCINNATI, OH,2014,5,2014Q2,Savings, State Savings FDIC Banks
36,57866,21715.0,AZTECAMERICA BANK,66309,65031,FAILURE,BERWYN, IL,2014,5,2014Q2,Commercial, State Chartered non-FRS Banks
37,15062,22149.0,ALLENDALE COUNTY BANK,49498,49356,FAILURE,FAIRFAX, SC,2014,4,2014Q2,Commercial, State Chartered non-FRS Banks
38,35096,10940.0,"MILLENNIUM BANK, NATIONAL ASSOCIATION",130305,121704,FAILURE,STERLING, VA,2014,2,2014Q1,Commercial, National FRS Banks
39,58531,8956.0,VANTAGE POINT BANK,63453,62472,FAILURE,HORSHAM, PA,2014,2,2014Q1,Commercial, State Chartered non-FRS Banks
40,34296,3487.0,SYRINGA BANK,153361,145813,FAILURE,BOISE, ID,2014,1,2014Q1,Commercial, State Chartered non-FRS Banks
41,17967,96352.0,THE  BANK OF UNION,317172,315843,FAILURE,EL RENO, OK,2014,1,2014Q1,Commercial, State Chartered non-FRS Banks
42,5732,1530.0,DUPAGE NATIONAL BANK,53524,51878,FAILURE,WEST CHICAGO, IL,2014,1,2014Q1,Commercial, National FRS Banks
43,57431,14203.0,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",159257,142640,FAILURE,THE WOODLANDS, TX,2013,12,2013Q4,Commercial, National FRS Banks
44,14794,5849.0,BANK OF JACKSON COUNTY,24724,24591,FAILURE,GRACEVILLE, FL,2013,10,2013Q4,Commercial, State Chartered non-FRS Banks
45,14318,627701.0,FIRST NATIONAL BANK,3085764,2338335,FAILURE,EDINBURG, TX,2013,9,2013Q3,Commercial, National FRS Banks
46,57041,9211.0,THE COMMUNITY'S BANK,26368,25715,FAILURE,BRIDGEPORT, CT,2013,9,2013Q3,Commercial, State Chartered non-FRS Banks
47,19849,130437.0,COMMUNITY SOUTH BANK,386908,377672,FAILURE,PARSONS, TN,2013,8,2013Q3,Commercial, State Chartered non-FRS Banks
